10510000	智逍遥	阅读男声	标准音色	中文	8k/16k	中性
1001	智瑜	情感女声	标准音色	中文	8k/16k	中性
1002	智聆	通用女声	标准音色	中文	8k/16k	中性
1003	智美	客服女声	标准音色	中文	8k/16k	中性
1004	智云	通用男声	标准音色	中文	8k/16k	中性
1005	智莉	通用女声	标准音色	中文	8k/16k	中性
1007	智娜	客服女声	标准音色	中文	8k/16k	中性
1008	智琪	客服女声	标准音色	中文	8k/16k	中性
1009	智芸	知性女声	标准音色	中文	8k/16k	中性
1010	智华	通用男声	标准音色	中文	8k/16k	中性
1017	智蓉	情感女声	标准音色	中文	8k/16k	中性
1018	智靖	情感男声	标准音色	中文	8k/16k	中性
1050	WeJack	英文男声	标准音色	英文	8k/16k	中性
1051	WeRose	英文男声	标准音色	英文	8k/16k	中性
100510000	智逍遥	阅读男声	精品音色	中文	8k/16k	中性
101001	智瑜	情感女声	精品音色	中文	8k/16k	中性
101002	智聆	通用女声	精品音色	中文	8k/16k	中性
101003	智美	客服女声	精品音色	中文	8k/16k	中性
101004	智云	通用男声	精品音色	中文	8k/16k	中性
101005	智莉	通用女声	精品音色	中文	8k/16k	中性
101006	智言	助手女声	精品音色	中文	8k/16k	中性
101007	智娜	客服女声	精品音色	中文	8k/16k	中性
101008	智琪	客服女声	精品音色	中文	8k/16k	中性
101009	智芸	知性女声	精品音色	中文	8k/16k	中性
101010	智华	通用男声	精品音色	中文	8k/16k	中性
101011	智燕	新闻女声	精品音色	中文	8k/16k	中性
101012	智丹	新闻女声	精品音色	中文	8k/16k	中性
101013	智辉	新闻男声	精品音色	中文	8k/16k	中性
101014	智宁	新闻男声	精品音色	中文	8k/16k	中性
101015	智萌	男童声	精品音色	中文	8k/16k	中性
101016	智甜	女童声	精品音色	中文	8k/16k	中性
101017	智蓉	情感女声	精品音色	中文	8k/16k	中性
101018	智靖	情感男声	精品音色	中文	8k/16k	中性
101019	智彤	粤语女声	精品音色	中文	8k/16k	中性
101020	智刚	新闻男声	精品音色	中文	8k/16k	中性
101021	智瑞	新闻男声	精品音色	中文	8k/16k	中性
101022	智虹	新闻女声	精品音色	中文	8k/16k	中性
101023	智萱	聊天女声	精品音色	中文	8k/16k	中性
101024	智皓	聊天男声	精品音色	中文	8k/16k	中性
101025	智薇	聊天女声	精品音色	中文	8k/16k	中性
101026	智希	通用女声	精品音色	中文	8k/16k	中性
101027	智梅	通用女声	精品音色	中文	8k/16k	中性
101028	智洁	通用女声	精品音色	中文	8k/16k	中性
101029	智凯	通用男声	精品音色	中文	8k/16k	中性
101030	智柯	通用男声	精品音色	中文	8k/16k	中性
101031	智奎	通用男声	精品音色	中文	8k/16k	中性
101032	智芳	通用女声	精品音色	中文	8k/16k	中性
101033	智蓓	客服女声	精品音色	中文	8k/16k	中性
101034	智莲	通用女声	精品音色	中文	8k/16k	中性
101035	智依	通用女声	精品音色	中文	8k/16k	中性
101040	智川	四川女声	精品音色	中文	8k/16k	中性
101050	WeJack	英文男声	精品音色	英文	8k/16k	中性
101051	WeRose	英文女声	精品音色	英文	8k/16k	中性
101052	智味	通用男声	精品音色	中文	8k/16k	中性
101053	智方	通用男声	精品音色	中文	8k/16k	中性
101054	智友	通用男声	精品音色	中文	8k/16k	中性
101055	智付	通用女声	精品音色	中文	8k/16k	中性
101056	智林	东北男声	精品音色	中文	8k/16k	中性
301000	爱小广	通用男声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301001	爱小栋	通用男声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301002	爱小海	通用男声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301003	爱小霞	通用女声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301004	爱小玲	通用女声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301005	爱小章	通用男声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301006	爱小峰	通用男声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301007	爱小亮	通用男声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301008	爱小博	通用男声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301009	爱小芸	通用女声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301010	爱小秋	通用女声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301011	爱小芳	通用女声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301012	爱小琴	通用女声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301013	爱小康	通用男声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301014	爱小辉	通用男声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301015	爱小璐	通用女声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301016	爱小阳	通用男声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301017	爱小泉	通用男声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301018	爱小昆	通用男声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301019	爱小诚	通用男声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301020	爱小岚	通用女声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301021	爱小茹	通用女声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301022	爱小蓉	通用女声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301023	爱小燕	通用女声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301024	爱小莲	通用女声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301025	爱小武	通用男声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301026	爱小雪	通用女声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301027	爱小媛	通用女声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301028	爱小娴	通用女声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301029	爱小涛	通用男声	精品音色	中文	8k/16k	中性、高兴、生气、悲伤、恐惧、新闻、故事、广播、诗歌、客服
301030	爱小溪	对话女声	精品音色	中文	8k/16k	中性
301031	爱小树	对话女声	精品音色	中文	8k/16k	中性，悲伤，生气，高兴，恐惧，震惊，撒娇，厌恶
301032	爱小荷	对话女声	精品音色	中文	8k/16k	中性，悲伤，生气，高兴，恐惧，震惊，撒娇，厌恶
301033	爱小叶	对话女声	精品音色	中文	8k/16k	中性，悲伤，生气，高兴，恐惧，震惊，撒娇，厌恶
301034	爱小杭	对话男声	精品音色	中文	8k/16k	中性，悲伤，生气，高兴，恐惧，震惊，撒娇，厌恶
301035	爱小梅	对话女声	精品音色	中文	8k/16k	中性，悲伤，生气，高兴，恐惧，震惊，撒娇，厌恶
301036	爱小柯	对话男声	精品音色	中文	8k/16k	中性，悲伤，生气，高兴，恐惧，震惊，撒娇，厌恶
301037	爱小静	对话女声	精品音色	中文	8k/16k	中性
301038	爱小桃	对话女声	精品音色	中文	8k/16k	中性，平静，兴奋，诗歌，悲伤，生气，恐惧，撒娇，厌恶
401000	智妍	活力女声	精品音色	中文	8k/16k	中性
401001	智萱	温暖女声	精品音色	中文	8k/16k	中性
401002	智飞	活力男声	精品音色	中文	8k/16k	中性
401003	智悦	活力女声	精品音色	中文	8k/16k	中性
401004	智海	成熟男声	精品音色	中文	8k/16k	中性
401005	智凡	新闻男声	精品音色	中文	8k/16k	中性
401006	智航	导航女声	精品音色	中文	8k/16k	中性
401007	智婷	广告女声	精品音色	中文	8k/16k	中性
401008	智霞	通用女声	精品音色	中文	8k/16k	中性	